		1-F				W			
j	R(km)	Rayleigh	normalized	aerosol	d(km)				
0	0,15	0,021740748	0,023717904	0,208720087	0	0,023717904	0,208720087		
1	0,45	0,060214564	0,065690621	0,448777771	0,3	0,041972718	0,240057684		0,065690621
2	0,75	0,093482534	0,101984062	0,568032434	0,6	0,03629344	0,119254662		
3	1,05	0,122874904	0,134049445	0,634314901	0,9	0,032065383	0,066282468		
4	1,35	0,149351171	0,162933528	0,676746266	1,2	0,028884083	0,042431365		
5	1,65	0,173604221	0,189392208	0,707878153	1,5	0,02645868	0,031131887		
6	1,95	0,19613519	0,213972198	0,733165877	1,8	0,02457999	0,025287724		
7	2,25	0,217307294	0,237069744	0,755022019	2,1	0,023097546	0,021856142		
8	2,55	0,237384521	0,258972843	0,774551238	2,4	0,021903098	0,019529219		
9	2,85	0,256559456	0,279891592	0,792292969	2,7	0,02091875	0,017741732		
10	3,15	0,274973283	0,299980018	0,808539625	3	0,020088426	0,016246655		
11	3,45	0,292730171	0,31935176	0,823473132	3,3	0,019371742	0,014933507		
12	3,75	0,30990761	0,338091357	0,83722373	3,6	0,018739597	0,013750598		
13	4,05	0,326563852	0,356262358	0,849895465	3,9	0,018171001	0,012671735		
14	4,35	0,342743256	0,373913156	0,861577418	4,2	0,017650798	0,011681953		
15	4,65	0,358480136	0,391081186	0,872348797	4,5	0,017168029	0,010771379		
16	4,95	0,373801524	0,407795938	0,882281392	4,8	0,016714752	0,009932595		
17	5,25	0,388729164	0,424081133	0,891440867	5,1	0,016285195	0,009159475		
18	5,55	0,403280941	0,439956284	0,899887549	5,4	0,015875151	0,008446682		
19	5,85	0,417471914	0,455437819	0,90767697	5,7	0,015481535	0,007789421		
20	6,15	0,431315058	0,470539892	0,914860302	6	0,015102073	0,007183332		
21	6,45	0,444821798	0,485274967	0,921484715	6,3	0,014735075	0,006624413		
22	6,75	0,458002394	0,499654238	0,927593703	6,6	0,014379271	0,006108988		
23	7,05	0,470866223	0,513687934	0,933227371	6,9	0,014033696	0,005633668		
24	7,35	0,483421976	0,527385538	0,938422703	7,2	0,013697604	0,005195332		
25	7,65	0,495677808	0,540755945	0,943213806	7,5	0,013370407	0,004791102		
26	7,95	0,507641442	0,553807581	0,94763213	7,8	0,013051635	0,004418324		
27	8,25	0,519320244	0,566548482	0,951706681	8,1	0,012740901	0,004074551		
28	8,55	0,530721286	0,578986362	0,955464206	8,4	0,01243788	0,003757525		
29	8,85	0,541851381	0,591128654	0,958929371	8,7	0,012142292	0,003465166		
30	9,15	0,552717116	0,602982546	0,962124925	9	0,011853892	0,003195554		
31	9,45	0,563324879	0,614555004	0,965071845	9,3	0,011572458	0,00294692		
32	9,75	0,57368087	0,625852794	0,967789476	9,6	0,01129779	0,002717631		
33	10,05	0,583791122	0,636882497	0,970295658	9,9	0,011029702	0,002506182		
34	10,35	0,593661505	0,647650516	0,972606843	10,2	0,010768019	0,002311185		
35	10,65	0,603297739	0,658163092	0,974738204	10,5	0,010512576	0,00213136		
36	10,95	0,612705398	0,668426307	0,976703731	10,8	0,010263215	0,001965527		
37	11,25	0,621889921	0,678446092	0,978516327	11,1	0,010019785	0,001812597		
38	11,55	0,630856609	0,688228233	0,980187893	11,4	0,009782141	0,001671565		
39	11,85	0,639610637	0,697778374	0,9817294	11,7	0,009550141	0,001541507		
40	12,15	0,648157055	0,707102023	0,983150968	12	0,009323649	0,001421568		
41	12,45	0,656500789	0,716204556	0,984461929	12,3	0,009102533	0,001310961		
42	12,75	0,664646649	0,725091221	0,985670889	12,6	0,008886665	0,00120896		
43	13,05	0,67259933	0,733767138	0,986785784	12,9	0,008675917	0,001114895		
44	13,35	0,680363415	0,742237308	0,987813933	13,2	0,00847017	0,001028149		
45	13,65	0,687943377	0,75050661	0,988762086	13,5	0,008269302	0,000948153		
46	13,95	0,695343584	0,758579809	0,989636467	13,8	0,008073199	0,000874381		
47	14,25	0,702568299	0,766461557	0,990442815	14,1	0,007881748	0,000806348		
48	14,55	0,709621683	0,774156393	0,991186424	14,4	0,007694836	0,000743609		
49	14,85	0,716507801	0,781668751	0,991872176	14,7	0,007512358	0,000685752		
50	15,15	0,723230619	0,789002958	0,992504572	15	0,007334207	0,000632396		
51	15,45	0,729794009	0,796163239	0,993087764	15,3	0,007160281	0,000583192		
52	15,75	0,736201753	0,803153719	0,993625579	15,6	0,00699048	0,000537816		
53	16,05	0,742457542	0,809978424	0,994121549	15,9	0,006824705	0,00049597		
54	16,35	0,748564979	0,816641286	0,99457893	16,2	0,006662862	0,000457381		
55	16,65	0,754527582	0,823146143	0,995000723	16,5	0,006504857	0,000421793		
56	16,95	0,760348787	0,829496742	0,995389699	16,8	0,006350599	0,000388975		
57	17,25	0,766031945	0,835696741	0,995748409	17,1	0,006199999	0,000358711		
58	17,55	0,771580332	0,841749711	0,99607921	17,4	0,00605297	0,000330801		
59	17,85	0,776997142	0,847659139	0,996384272	17,7	0,005909428	0,000305062		
60	18,15	0,782285497	0,853428429	0,996665598	18	0,00576929	0,000281326		
